"Method","Path","Status","FolderStatus","CoveredBy","OperationId","Tags","SuggestedFolder","ActualFolders","FolderMismatch","Covered","Skipped","Deprecated","SkipReason","Description","Parameters"
"POST","/people","Covered","OK","New-IMPerson","createPerson","People","Person","Person","False","True","False","False",,"This endpoint requires the `person.create` permission.",""
"PUT","/people","Covered","OK","Set-IMPerson","updatePeople","People","Person","Person","False","True","False","False",,"This endpoint requires the `person.update` permission.",""
"DELETE","/people/{id}","Missing","N/A","","deletePerson","People","Person","","False","False","False","False",,"This endpoint requires the `person.delete` permission.",""
"GET","/people/{id}","Covered","Wrong Folder (Asset, Person | Person)","Export-IMPersonThumbnail, Get-IMAsset, Get-IMPerson","getPerson","People","Person","Asset, Person","True","True","False","False",,"This endpoint requires the `person.read` permission.",""
"PUT","/people/{id}","Skipped","N/A","","updatePerson","People","Person","","False","False","True","False","Single item version of batch API","This endpoint requires the `person.update` permission.",""
"POST","/people/{id}/merge","Covered","OK","Merge-IMPerson","mergePerson","People","Person","Person","False","True","False","False",,"This endpoint requires the `person.merge` permission.",""
"PUT","/people/{id}/reassign","Skipped","N/A","","reassignFaces","People","Person","","False","False","True","False","Unclear usage - no documentation","This endpoint requires the `person.reassign` permission.",""
"GET","/people/{id}/statistics","Covered","OK","Get-IMPerson","getPersonStatistics","People","Person","Person","False","True","False","False",,"This endpoint requires the `person.statistics` permission.",""
"GET","/people/{id}/thumbnail","Covered","OK","Export-IMPersonThumbnail","getPersonThumbnail","People","Person","Person","False","True","False","False",,"This endpoint requires the `person.read` permission.",""
"GET","/search/cities","Covered","OK","Find-IMCity","getAssetsByCity","Search","Search","Search","False","True","False","False",,"This endpoint requires the `asset.read` permission.",""
"GET","/search/explore","Covered","OK","Find-IMExploreData","getExploreData","Search","Search","Search","False","True","False","False",,"This endpoint requires the `asset.read` permission.",""
"POST","/search/large-assets","Missing","N/A","","searchLargeAssets","Search","Search","","False","False","False","False",,"This endpoint requires the `asset.read` permission.",""
"POST","/search/metadata","Covered","OK","Find-IMAsset, Search-IMAsset","searchAssets","Search","Search","Search","False","True","False","False",,"This endpoint requires the `asset.read` permission.",""
"GET","/search/person","Covered","OK","Find-IMPerson","searchPerson","Search","Search","Search","False","True","False","False",,"This endpoint requires the `person.read` permission.",""
"GET","/search/places","Covered","OK","Find-IMPlace","searchPlaces","Search","Search","Search","False","True","False","False",,"This endpoint requires the `asset.read` permission.",""
"POST","/search/random","Covered","Wrong Folder (Asset | Search)","Get-IMAsset","searchRandom","Search","Search","Asset","True","True","False","False",,"This endpoint requires the `asset.read` permission.",""
"POST","/search/smart","Covered","OK","Search-IMAsset","searchSmart","Search","Search","Search","False","True","False","False",,"This endpoint requires the `asset.read` permission.",""
"POST","/search/statistics","Missing","N/A","","searchAssetStatistics","Search","Search","","False","False","False","False",,"This endpoint requires the `asset.statistics` permission.",""
"GET","/search/suggestions","Skipped","N/A","","getSearchSuggestions","Search","Search","","False","False","True","False","Interactive search - not applicable for PowerShell","This endpoint requires the `asset.read` permission.",""
"GET","/server/about","Covered","OK","Get-IMServerAbout","getAboutInfo","Server","Server","Server","False","True","False","False",,"This endpoint requires the `server.about` permission.",""
"GET","/server/apk-links","Missing","N/A","","getApkLinks","Server","Server","","False","False","False","False",,"This endpoint requires the `server.apkLinks` permission.",""
"GET","/server/config","Covered","OK","Get-IMServerConfig","getServerConfig","Server","Server","Server","False","True","False","False",,,""
"GET","/server/features","Covered","OK","Get-IMServerFeature","getServerFeatures","Server","Server","Server","False","True","False","False",,,""
"DELETE","/server/license","Covered","OK","Remove-IMServerLicense","deleteServerLicense","Server","Server","Server","False","True","False","False",,"This endpoint is an admin-only route, and requires the `serverLicense.delete` permission.",""
"GET","/server/license","Covered","OK","Get-IMServerLicense","getServerLicense","Server","Server","Server","False","True","False","False",,"This endpoint is an admin-only route, and requires the `serverLicense.read` permission.",""
"PUT","/server/license","Covered","OK","Set-IMServerLicense","setServerLicense","Server","Server","Server","False","True","False","False",,"This endpoint is an admin-only route, and requires the `serverLicense.update` permission.",""
"GET","/server/media-types","Covered","OK","Get-IMSupportedMediaType","getSupportedMediaTypes","Server","Server","Server","False","True","False","False",,,""
"GET","/server/ping","Covered","OK","Test-IMPing","pingServer","Server","Server","Server","False","True","False","False",,,""
"GET","/server/statistics","Covered","OK","Get-IMServerStatistic","getServerStatistics","Server","Server","Server","False","True","False","False",,"This endpoint is an admin-only route, and requires the `server.statistics` permission.",""
"GET","/server/storage","Covered","OK","Get-IMServerStorage","getStorage","Server","Server","Server","False","True","False","False",,"This endpoint requires the `server.storage` permission.",""
"GET","/server/theme","Covered","OK","Get-IMTheme","getTheme","Server","Server","Server","False","True","False","False",,,""
"GET","/server/version","Covered","OK","Get-IMServerVersion","getServerVersion","Server","Server","Server","False","True","False","False",,,""
"GET","/server/version-check","Missing","N/A","","getVersionCheck","Server","Server","","False","False","False","False",,"This endpoint requires the `server.versionCheck` permission.",""
"GET","/server/version-history","Covered","OK","Get-IMServerVersion","getVersionHistory","Server","Server","Server","False","True","False","False",,,""
"DELETE","/sessions","Covered","Wrong Folder (AuthSession | Session)","Remove-IMAuthSession","deleteAllSessions","Sessions","Session","AuthSession","True","True","False","False",,"This endpoint requires the `session.delete` permission.",""
"GET","/sessions","Covered","Wrong Folder (AuthSession | Session)","Get-IMAuthSession","getSessions","Sessions","Session","AuthSession","True","True","False","False",,"This endpoint requires the `session.read` permission.",""
"POST","/sessions","Missing","N/A","","createSession","Sessions","Session","","False","False","False","False",,"This endpoint requires the `session.create` permission.",""
"DELETE","/sessions/{id}","Covered","Wrong Folder (AuthSession | Session)","Remove-IMAuthSession","deleteSession","Sessions","Session","AuthSession","True","True","False","False",,"This endpoint requires the `session.delete` permission.",""
"PUT","/sessions/{id}","Missing","N/A","","updateSession","Sessions","Session","","False","False","False","False",,"This endpoint requires the `session.update` permission.",""
"POST","/sessions/{id}/lock","Missing","N/A","","lockSession","Sessions","Session","","False","False","False","False",,"This endpoint requires the `session.lock` permission.",""
"GET","/shared-links","Covered","OK","Get-IMSharedLink","getAllSharedLinks","Shared Links","SharedLink","SharedLink","False","True","False","False",,"This endpoint requires the `sharedLink.read` permission.",""
"POST","/shared-links","Covered","OK","New-IMSharedLink","createSharedLink","Shared Links","SharedLink","SharedLink","False","True","False","False",,"This endpoint requires the `sharedLink.create` permission.",""
"GET","/shared-links/me","Covered","OK","Get-IMSharedLink","getMySharedLink","Shared Links","SharedLink","SharedLink","False","True","False","False",,,""
"DELETE","/shared-links/{id}","Covered","OK","Remove-IMSharedLink, Remove-IMSharedLinkAsset","removeSharedLink","Shared Links","SharedLink","SharedLink","False","True","False","False",,"This endpoint requires the `sharedLink.delete` permission.",""
"GET","/shared-links/{id}","Covered","OK","Get-IMSharedLink","getSharedLinkById","Shared Links","SharedLink","SharedLink","False","True","False","False",,"This endpoint requires the `sharedLink.read` permission.",""
"PATCH","/shared-links/{id}","Covered","OK","Set-IMSharedLink","updateSharedLink","Shared Links","SharedLink","SharedLink","False","True","False","False",,"This endpoint requires the `sharedLink.update` permission.",""
"DELETE","/shared-links/{id}/assets","Covered","OK","Remove-IMSharedLinkAsset","removeSharedLinkAssets","Shared Links","SharedLink","SharedLink","False","True","False","False",,,""
"PUT","/shared-links/{id}/assets","Covered","OK","Add-IMSharedLinkAsset","addSharedLinkAssets","Shared Links","SharedLink","SharedLink","False","True","False","False",,,""
"DELETE","/stacks","Missing","N/A","","deleteStacks","Stacks","Stack","","False","False","False","False",,"This endpoint requires the `stack.delete` permission.",""
"GET","/stacks","Missing","N/A","","searchStacks","Stacks","Stack","","False","False","False","False",,"This endpoint requires the `stack.read` permission.",""
"POST","/stacks","Missing","N/A","","createStack","Stacks","Stack","","False","False","False","False",,"This endpoint requires the `stack.create` permission.",""
"DELETE","/stacks/{id}","Missing","N/A","","deleteStack","Stacks","Stack","","False","False","False","False",,"This endpoint requires the `stack.delete` permission.",""
"GET","/stacks/{id}","Missing","N/A","","getStack","Stacks","Stack","","False","False","False","False",,"This endpoint requires the `stack.read` permission.",""
"PUT","/stacks/{id}","Missing","N/A","","updateStack","Stacks","Stack","","False","False","False","False",,"This endpoint requires the `stack.update` permission.",""
"DELETE","/stacks/{id}/assets/{assetId}","Missing","N/A","","removeAssetFromStack","Stacks","Stack","","False","False","False","False",,"This endpoint requires the `stack.update` permission.",""
